"PaperID","TreatmentCode","n_Paper","TreatmentName_paper","Year","Outlet","Published","FirstTask","between_vs_within","Game_type","Group_size","One_Shot_Repeated","Choice_Method","Matching","Rounds","Punishment","Rewards","Monetary_Incentivized_experiment","Environment","Method_elicitation","Separate_sample_beliefs","Belief_repeated","Before_after_main_decisions","KW_Normative","KW_Personal","Bicchieri_Empirical","Bicchieri_Normative","Bicchieri_Personal_Beliefs","Bicchieri_between","Incentives_beliefs","StatusTreatment_Roma","Avg_coop","Var_coop","Avg_NE","Var_NE","Avg_EE","Avg_PNB","Var_EE","Var_PNB"
"2021Kon127","10",127,"S2_NoConflit",2021,"WP","Working Paper",NA,NA,"DG",2,NA,"OnlyNorms",NA,NA,NA,NA,NA,NA,"KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",NA,NA,0.5,0.178944865074743,NA,NA,NA,NA
"2021Kon127","9",127,"S2_Never",2021,"WP","Working Paper",NA,NA,"DG",2,NA,"OnlyNorms",NA,NA,NA,NA,NA,NA,"KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",NA,NA,0.5,0.199912430991814,NA,NA,NA,NA
"2021Kon127","8",127,"S2_Always",2021,"WP","Working Paper",NA,NA,"DG",2,NA,"OnlyNorms",NA,NA,NA,NA,NA,NA,"KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",NA,NA,0.5,0.17707326007326,NA,NA,NA,NA
"2021Kon127","7",127,"S2_baseline",2021,"WP","Working Paper",NA,NA,"DG",2,NA,"OnlyNorms",NA,NA,NA,NA,NA,NA,"KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",NA,NA,0.5,0.180510184656387,NA,NA,NA,NA
"2021Kon127","4",127,"S1_NoConflit",2021,"WP","Working Paper",NA,NA,"DG",2,NA,"OnlyNorms",NA,NA,NA,NA,NA,NA,"KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",NA,NA,0.5,0.18412093411176,NA,NA,NA,NA
"2021Kon127","3",127,"S1_Never",2021,"WP","Working Paper",NA,NA,"DG",2,NA,"OnlyNorms",NA,NA,NA,NA,NA,NA,"KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",NA,NA,0.5,0.255482581382067,NA,NA,NA,NA
"2021Kon127","2",127,"S1_Always",2021,"WP","Working Paper",NA,NA,"DG",2,NA,"OnlyNorms",NA,NA,NA,NA,NA,NA,"KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",NA,NA,0.5,0.256034209134192,NA,NA,NA,NA
"2021Kon127","1",127,"S1_baseline",2021,"WP","Working Paper",NA,NA,"DG",2,NA,"OnlyNorms",NA,NA,NA,NA,NA,NA,"KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",NA,NA,0.5,0.218157243479916,NA,NA,NA,NA
"2017Sen116","2",116,"SN",2017,"WP","Working Paper","N","between","DG",2,"OneShot","Direct","P",1,"N","N","Y","Lab","KW","N","N","before","Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.336315789473684,0.0382155789473684,NA,NA,NA,NA,NA,NA
"2017Sen116","1",116,"baseline",2017,"WP","Working Paper","Y","between","DG",2,"OneShot","Direct","P",1,"N","N","Y","Lab","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.256363636363636,0.0377342657342657,NA,NA,NA,NA,NA,NA
"2020Bas115","2c",115,"Private_UG",2020,"WP","Working Paper","Random","between","UG",2,"OneShot","Direct","PS",1,"N","N","Y","Lab","KW","N","N","before","Y","Y",NA,NA,NA,NA,"Y","6-Complete",0.445528455284553,0.00807410369185659,0.5,0.262528433945757,NA,NA,NA,NA
"2020Bas115","1c",115,"Social_UG",2020,"WP","Working Paper","Random","between","UG",2,"OneShot","Direct","PS",1,"N","N","Y","Lab","KW","N","N","before","Y","Y",NA,NA,NA,NA,"Y","6-Complete",0.445528455284553,0.00807410369185659,0.5,0.167186458749833,NA,NA,NA,NA
"2020Bas115","2b",115,"Private_DG_tax",2020,"WP","Working Paper","Random","between","DG Tax",2,"OneShot","Direct","PS",1,"N","N","Y","Lab","KW","N","N","before","Y","Y",NA,NA,NA,NA,"Y","6-Complete",0.3745,0.0605544678714859,0.583333333333333,0.328906386701662,NA,NA,NA,NA
"2020Bas115","1b",115,"Social_DG_tax",2020,"WP","Working Paper","Random","between","DG Tax",2,"OneShot","Direct","PS",1,"N","N","Y","Lab","KW","N","N","before","Y","Y",NA,NA,NA,NA,"Y","6-Complete",0.3745,0.0605544678714859,0.583333333333333,0.356414767426363,NA,NA,NA,NA
"2020Bas115","2a",115,"Private_DG",2020,"WP","Working Paper","Random","between","DG",2,"OneShot","Direct","PS",1,"N","N","Y","Lab","KW","N","N","before","Y","Y",NA,NA,NA,NA,"Y","6-Complete",0.3416,0.0409934136546185,0.5,0.0956880389951256,NA,NA,NA,NA
"2020Bas115","1a",115,"Social_DG",2020,"WP","Working Paper","Random","between","DG",2,"OneShot","Direct","PS",1,"N","N","Y","Lab","KW","N","N","before","Y","Y",NA,NA,NA,NA,"Y","6-Complete",0.3416,0.0409934136546185,0.5,0.0818605890976943,NA,NA,NA,NA
"2020And089","4",89,"EX2_PublicDecisionCondition",2020,"JBEE","Published","N","between","PGG",44473,"OneShot","Strategy","P",1,"N","N","Y","Classroom","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.535533884297521,0.0263295215922865,NA,NA,NA,NA,NA,NA
"2020And089","3",89,"EX2_PrivateDecisionCondition",2020,"JBEE","Published","N","between","PGG",44473,"OneShot","Strategy","P",1,"N","N","Y","Classroom","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.58643220338983,0.0380368580993771,NA,NA,NA,NA,NA,NA
"2020And089","2",89,"EX1_PublicDecisionCondition",2020,"JBEE","Published","N","between","Donation Game",44412,"OneShot","Direct","P",1,"N","N","Y","Classroom","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.567213114754098,0.161116915871014,1,0.0806530214424951,NA,NA,NA,NA
"2020And089","1",89,"EX1_PrivateDecisionCondition",2020,"JBEE","Published","N","between","Donation Game",44412,"OneShot","Direct","P",1,"N","N","Y","Classroom","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.601047120418848,0.162735739873243,1,0.150163769211388,NA,NA,NA,NA
"2019Dro082","1a",82,"Donation Game",2019,"WP","Working Paper","N","within","Donation Game",2,"OneShot","Direct","P",1,"N","N","Y","Lab","KW","N","N","after","Y","Y",NA,NA,NA,NA,"N","6-Complete",0.0870719851107995,0.0122317927212083,0,0.257820411903116,NA,NA,NA,NA
"2019Dro082","1a",82,"Donation Game",2019,"WP","Working Paper","N","within","Donation Game",2,"OneShot","Direct","P",1,"N","N","Y","Lab","KW","N","N","after","Y","Y",NA,NA,NA,NA,"N","6-Complete",0.0870719851107995,0.0122317927212083,0,0.242251386477966,NA,NA,NA,NA
"2019Dro082","1a",82,"Donation Game",2019,"WP","Working Paper","N","within","Donation Game",2,"OneShot","Direct","P",1,"N","N","Y","Lab","KW","N","N","after","Y","Y",NA,NA,NA,NA,"N","6-Complete",0.0870719851107995,0.0122317927212083,0,0.248122350279251,NA,NA,NA,NA
"2019Dro082","1a",82,"Donation Game",2019,"WP","Working Paper","N","within","Donation Game",2,"OneShot","Direct","P",1,"N","N","Y","Lab","KW","N","N","after","Y","Y",NA,NA,NA,NA,"N","6-Complete",0.0870719851107995,0.0122317927212083,0,0.227669297144029,NA,NA,NA,NA
"2019Dro082","1a",82,"Donation Game",2019,"WP","Working Paper","N","within","Donation Game",2,"OneShot","Direct","P",1,"N","N","Y","Lab","KW","N","N","after","Y","Y",NA,NA,NA,NA,"N","6-Complete",0.0870719851107995,0.0122317927212083,0,0.188182070025156,NA,NA,NA,NA
"2019Dro082","1a",82,"Donation Game",2019,"WP","Working Paper","N","within","Donation Game",2,"OneShot","Direct","P",1,"N","N","Y","Lab","KW","N","N","after","Y","Y",NA,NA,NA,NA,"N","6-Complete",0.0870719851107995,0.0122317927212083,0,0.202515611498688,NA,NA,NA,NA
"2019Dro082","1a",82,"Donation Game",2019,"WP","Working Paper","N","within","Donation Game",2,"OneShot","Direct","P",1,"N","N","Y","Lab","KW","N","N","after","Y","Y",NA,NA,NA,NA,"N","6-Complete",0.0870719851107995,0.0122317927212083,0,0.235062890270926,NA,NA,NA,NA
"2018Her061","9",61,"GENExperiment_Money",2018,"WP","Working Paper","Y","between","DG",2,"OneShot","Direct","P",1,"N","N","Y","Lab","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.144736842105263,0.0360526315789474,0.5,0.184605658289869,NA,NA,NA,NA
"2019Tjo060","9",60,"Experiment 9",2019,"JBEE","Published","Y","between","DG",NA,NA,"OnlyNorms",NA,NA,NA,NA,NA,"Classroom","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",NA,NA,0.5,0.273219373219373,NA,NA,NA,NA
"2019Tjo060","8",60,"Experiment 8",2019,"JBEE","Published","Y","between","DG",NA,NA,"OnlyNorms",NA,NA,NA,NA,NA,"Lab","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",NA,NA,0.5,0.322904303375392,NA,NA,NA,NA
"2017Ves049","1a",49,"noRisk",2017,"WP","Working Paper","Y","between","PGG",4,"Repeated","Direct","P",10,"N","N","Y","Lab","KW","N","N","after","Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.425735294117647,0.0651860184372256,1,0.439704016913319,NA,NA,NA,NA
"2017Ves049","2a",49,"IndependentRisk",2017,"WP","Working Paper","Y","between","PGG",4,"Repeated","Direct","P",10,"N","N","Y","Lab","KW","N","N","after","Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.4875,0.0877127659574468,1,0.431418439716312,NA,NA,NA,NA
"2017Ves049","3a",49,"CorreletedRisk",2017,"WP","Working Paper","Y","between","PGG",4,"Repeated","Direct","P",10,"N","N","Y","Lab","KW","N","N","after","Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.425735294117647,0.0651860184372256,1,0.488926690079017,NA,NA,NA,NA
"2018Kim038","2",38,"GiveTakeDG",2018,"EcLetters","Published","N","between","DG",2,"OneShot","Direct","P",1,"N","N","Y","Lab","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.206764705882353,0.0584664923747277,NA,NA,NA,NA,NA,NA
"2018Kim038","1",38,"NeutralDG",2018,"EcLetters","Published","N","between","DG",2,"OneShot","Direct","P",1,"N","N","Y","Lab","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.199090909090909,0.0377945031712474,NA,NA,NA,NA,NA,NA
"2017Del037","3",37,"Out Treatment",2017,"GAMES","Published","N","between","DG",2,"OneShot","Direct","P",1,"N","N","Y","Lab","KW","N","N","after","Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.286455537926126,0.0288818182508368,0.833333333333333,0.34005376344086,NA,NA,NA,NA
"2017Del037","2",37,"In Treatment",2017,"GAMES","Published","N","between","DG",2,"OneShot","Direct","P",1,"N","N","Y","Lab","KW","N","N","after","Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.24130713036963,0.0341570076306669,0.833333333333333,0.34005376344086,NA,NA,NA,NA
"2017Del037","1",37,"Base",2017,"GAMES","Published","N","between","DG",2,"OneShot","Direct","P",1,"N","N","Y","Lab","KW","N","N","after","Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.238537898882726,0.0313350890328223,0.5,0.245210727969349,NA,NA,NA,NA
"2015Ves034","4",34,"KW_Incentivized",2015,"JDM","Published","N","between","UG",NA,NA,"OnlyNorms",NA,NA,NA,NA,NA,NA,"KW",NA,"N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",NA,NA,0.5,0.080672268907563,NA,NA,NA,NA
"2015Ves034","1",34,"KW_Incentivized",2015,"JDM","Published","Y","between","UG",NA,NA,"OnlyNorms",NA,NA,NA,NA,NA,NA,"KW",NA,"N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",NA,NA,0.5,0.106951871657754,NA,NA,NA,NA
"2017Tho028","2",28,"Asym",2017,"JEBO","Published","Y","between","DG",2,"Repeated","Direct","P",1,"N","N","Y","Lab","KW","N","N","after","Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.186666666666667,0.0311685393258427,0.5,0.140350877192982,NA,NA,NA,NA
"2017Tho028","1",28,"Base",2017,"JEBO","Published","Y","between","DG",2,"Repeated","Direct","P",1,"N","N","Y","Lab","KW","N","N","after","Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.204716981132075,0.0303138606676343,0.5,0.217706821480406,NA,NA,NA,NA
"2019Cha026","2",26,"Tax-framed",2019,"GEB","Published","N","between","DG",2,"Repeated","Direct","S",11,"N","N","Y","Online","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.2935,0.0788548872180451,0.5,0.37266332075524,NA,NA,NA,NA
"2019Cha026","1",26,"Neutrally-framed",2019,"GEB","Published","N","between","DG",2,"Repeated","Direct","S",11,"N","N","Y","Online","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.287224669603524,0.0806767767338505,0.5,0.11314794825023,NA,NA,NA,NA
"2016Kim003","9",3,"PGG_Norms",2016,"JEEA","Published",NA,"between","PGG",4,"OneShot","OnlyNorms","P",1,NA,NA,NA,"Lab","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",NA,NA,0,0.215803285571826,NA,NA,NA,NA
"2016Kim003","8",3,"UG",2016,"JEEA","Published","N","between","UG",2,"OneShot","Direct","P",1,"N","N","Y","Lab","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.433976449275362,0.0105704730125746,0.5,0.192037999265208,NA,NA,NA,NA
"2016Kim003","6",3,"TG",2016,"JEEA","Published","N","between","TG",2,"Repeated","Direct","S",6,"N","N","Y","Lab","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.509114583333333,0.128715023825355,0.5,0.15135149320317,NA,NA,NA,NA
"2016Kim003","7",3,"DG",2016,"JEEA","Published","N","between","DG",2,"OneShot","Direct","P",1,"N","N","Y","Lab","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.250466417910448,0.0380709202566712,0.5,0.169028499448906,NA,NA,NA,NA
